8/6p1/5pk1/4p3/3pP1KP/PQ6/5P2/6r1 w - - 1 37|a1g1|Rg1+|g4f3
5b2/R6p/4p1pk/2P1P3/2pPq1r1/6P1/3Q1P1P/5RK1 b - - 6 29|d1d2|Qd2+|g6g5
r3k2r/p4ppp/b1p1pn2/3p4/8/P3PQ2/2qB1PPP/R3K2R w kq - 4 15|g8f6|Nf6|f3d1
r1bqkb1r/ppp3pp/2np1n2/3NpP2/2B5/8/PPPP1PPP/R1BQK1NR w KQkq - 0 6|d7d6|d6|d5f6
r1b2rk1/2q1bpp1/7p/pQpnp3/4P3/2P2N2/PP1N1PPP/R4RK1 w - - 0 16|f6d5|Nxd5|e4d5
2r1r1k1/3n1pp1/p2bpP1p/qp1p3N/3P4/P1PQ3P/1P2N1P1/1R3R1K b - - 0 23|f5f6|f6|g7g6
rn3rk1/pb3pbp/1pq3p1/8/5B2/1B3N2/PPP2PPP/R2QR1K1 b - - 1 15|c1f4|Bf4|b8d7
rnbqkbnr/pp3ppp/3pp3/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5|e7e6|e6|f3d4
3rr3/QPk2p2/1P1p2p1/7n/2P5/4pqPp/4N2P/R2R2K1 b - - 0 32|b5b6|b6+|c7c6
r4rk1/pp2npp1/3qpn1p/1B1p4/N2p4/P6P/1PPB1PPb/R2QR2K b - - 5 17|g1h1|Kh1|f6e4
rn1qk2r/pbpp1ppp/1p2pn2/4P3/3P4/2PB1N2/P1P2PPP/R1BQK2R b KQkq - 0 7|e4e5|e5|f6d5
r1q4k/ppp3pp/3b1n2/8/8/1Q3N2/PP3PPP/3R1RK1 b - - 3 19|f7b3|Qb3|c8g4
3Q2k1/5p1p/4qp2/p7/1p6/7P/PP3PP1/5K2 b - - 0 33|d1d8|Qxd8+|g8g7
3r3k/pbqnnprp/1p5Q/2p1pPN1/3pP3/P2P4/1PP1BN1P/1R4RK w - - 6 22|g8g7|Rg7|f5f6
3r3r/1k2q1b1/ppn1p2p/3n4/1P2N1p1/2P3B1/4QPPP/3RK2R w K - 0 23|c7b6|cxb6|e1g1
3rr1k1/5p1p/4p1p1/p2p4/3N1P2/PP2B3/1nR1B1PP/6K1 b - - 4 37|c7c2|Rc2|d8c8
r1bq1rk1/1p5p/6pP/2ppnp2/p2P1B2/b1P2P2/P1PK1QP1/1R3B1R w - - 0 18|d7e5|Nxe5|f4e5
7r/p1k1q3/B2r4/2N2p2/7p/1P1P1QPb/P1P2P2/R5K1 b - - 1 25|b7a6|Ba6|d6b6
6k1/4Rbp1/3r1n1p/p7/3P4/2N2N1P/PP3PP1/6K1 w - - 0 24|a7a5|a5|e7a7
8/8/8/b5kp/b1B2p2/1p1K2P1/1B5P/8 w - - 0 43|f5f4|f4|g3f4
8/1q2kp2/2b1p1p1/3NP2p/3p1P2/1P1Pn1P1/2P1K3/8 b - - 1 44|f6d5|Nd5+|e7f8
r4rk1/pp3pp1/2q5/3p2p1/3RpP2/2P4Q/PP5P/6K1 w - - 0 25|h6g5|hxg5|f4g5
r5r1/pp2k2p/2p1p1n1/3p4/3P2PP/4PB2/PPP5/2K2R1R b - - 0 23|h2h4|h4|g8f8
r4rk1/3qbppp/pp6/3Pp3/2Pp4/1P1P1Q2/P5PP/R1B2RK1 b - - 1 16|d1f3|Qf3|e7d6
r4rk1/1ppbqpb1/p2p2pp/P1nPB3/3N4/3B3P/1PP3P1/RN1Q1RK1 b - - 0 18|f4e5|Bxe5|g7e5
r1b1r1k1/pppn1pbp/6p1/1N6/4pP1q/6NP/PPP3P1/R1B1QRK1 b - - 3 14|d1e1|Qe1|c7c6
r1bqkb1r/pp3ppp/2n1pn2/2pP4/5B2/1B1P4/PPP2PPP/RN1QK1NR b KQkq - 0 6|e4d5|exd5|e6d5
8/r6p/5p1k/5K2/p2R4/5P2/P6P/8 w - - 1 35|g7h6|Kh6|f5g4
rnbq1rk1/ppppppbp/5np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQ - 3 5|e8g8|O-O|e2e4
8/p6k/8/2R1B3/6r1/8/8/6K1 w - - 0 39|g6g4|Rxg4+|g1f2
6k1/b4p2/3P2pp/4P3/2N1KP1r/1n6/8/3R4 b - - 0 37|d5d6|d6|b3c5
